10611, 16523, 8018, 3393, 3826, 4877, 5733, 4091, 4449, 6664, 6617, 6940, 5535, 4215, 3062, 528, 25, 0, 0, 0, 0, 0, 0, 0, 0, 
669, 14617, 17113, 12352, 7231, 6045, 6362, 6182, 4949, 4139, 3555, 2975, 4451, 1460, 237, 32, 3, 0, 0, 0, 0, 0, 0, 0, 0, 
20814, 9824, 6007, 3628, 2772, 2962, 3798, 4054, 5431, 7530, 7372, 10362, 5548, 2218, 1559, 685, 25, 1, 1, 0, 0, 0, 0, 0, 0, 
400, 12172, 10094, 6289, 6814, 8197, 11742, 5053, 4564, 4919, 4674, 4243, 3200, 2547, 1895, 1632, 1406, 501, 20, 3, 0, 0, 0, 0, 0, 
66260, 4542, 324, 358, 4777, 7747, 2726, 2346, 1952, 1411, 895, 552, 395, 298, 263, 271, 189, 207, 474, 52, 0, 0, 0, 0, 0, 
79948, 2510, 1370, 1116, 2307, 1906, 1357, 1121, 819, 699, 451, 386, 329, 268, 222, 232, 218, 315, 1318, 248, 30, 1, 0, 0, 0, 
9357, 7337, 17643, 16635, 18416, 10271, 5043, 2993, 2163, 1490, 964, 522, 299, 218, 208, 175, 112, 81, 45, 18, 4, 0, 0, 0, 0, 
1628, 5240, 9394, 13250, 13123, 9271, 7808, 6914, 8622, 10509, 3186, 1022, 277, 78, 23, 22, 21, 18, 40, 273, 418, 2, 0, 0, 0, 
26966, 7732, 5377, 5831, 4496, 3483, 2634, 4050, 4662, 4036, 3127, 2831, 3449, 4229, 5961, 4801, 1193, 380, 90, 6, 1, 0, 0, 0, 0, 
16101, 12421, 13107, 9786, 9161, 10146, 5006, 2426, 2425, 2319, 2254, 2131, 1735, 1217, 1241, 1117, 791, 717, 371, 116, 3, 0, 0, 0, 0, 
26453, 6692, 5647, 4666, 5514, 8688, 6020, 5826, 5772, 4365, 4088, 2273, 1532, 1129, 863, 616, 618, 891, 846, 375, 23, 0, 0, 0, 0, 
0, 0, 0, 0, 1, 7, 17, 14, 45, 203, 798, 8728, 7222, 2806, 1429, 1177, 1597, 1437, 5947, 13749, 10580, 41408, 1108, 10, 0, 
115, 186, 374, 760, 840, 1392, 2386, 681, 1039, 1428, 1512, 1080, 1052, 1029, 4963, 19731, 10613, 26943, 21222, 182, 18, 4, 0, 0, 0, 
127, 248, 440, 2171, 2235, 1357, 872, 833, 2697, 5678, 3835, 1692, 1411, 1408, 1349, 1290, 1569, 4452, 11878, 12671, 19754, 19228, 287, 10, 0, 
535, 989, 1395, 1066, 1475, 2279, 11033, 2463, 2247, 1987, 1821, 1597, 1256, 1142, 991, 1738, 10445, 7147, 9233, 9836, 10440, 11728, 67, 12, 0, 
131, 449, 597, 1435, 1717, 1267, 1613, 2473, 1951, 1631, 1570, 1122, 748, 689, 757, 968, 1078, 4881, 6719, 13957, 22993, 25853, 307, 10, 0, 
98, 122, 86, 103, 500, 2649, 3029, 1647, 1839, 1037, 606, 669, 809, 1238, 6246, 9551, 11836, 20923, 33388, 461, 15, 0, 0, 0, 0, 
3813, 2752, 1427, 2304, 7782, 15229, 11611, 5989, 5070, 4174, 3285, 2489, 1913, 1934, 2078, 2580, 4094, 11480, 609, 75, 3, 0, 0, 0, 0, 
0, 0, 0, 1, 55, 904, 4717, 2017, 1297, 1046, 1529, 1466, 1744, 1275, 992, 1018, 1638, 6278, 10249, 9580, 12452, 35926, 142, 0, 0, 
14350, 1369, 1484, 2897, 2842, 2564, 2937, 4493, 6711, 9083, 11817, 12039, 16169, 5813, 63, 9, 7, 19, 23, 96, 19, 0, 0, 0, 0, 
1223, 2005, 2669, 4161, 4792, 5333, 6002, 13708, 15160, 11478, 7426, 5046, 3554, 2117, 1382, 802, 507, 297, 244, 269, 591, 815, 0, 0, 0, 
2, 132, 12202, 7242, 4251, 1600, 1102, 5855, 6390, 15753, 18652, 15778, 6378, 1004, 264, 152, 124, 126, 68, 14, 2, 0, 0, 0, 0, 
0, 1, 19944, 5115, 1295, 1017, 951, 2137, 3794, 9510, 17956, 17649, 10644, 2726, 1589, 1139, 771, 333, 195, 139, 45, 3, 0, 0, 0, 
